,subject,task,ecg,eda,resp,video,audio,n_modalities,has_label,pattern
h7j3_Reading,h7j3,Reading,1,1,1,1,1,5,1,11111
h7j3_Relax,h7j3,Relax,0,0,0,1,0,1,0,00010
h7j3_Speaking,h7j3,Speaking,1,1,1,1,1,5,1,11111
h7j3_Stroop,h7j3,Stroop,1,1,1,1,1,5,1,11111
h7j3_Video1,h7j3,Video1,1,1,1,1,0,4,1,11110
h7j3_Video2,h7j3,Video2,1,1,1,1,0,4,1,11110
h8r2_Baseline,h8r2,Baseline,1,1,1,0,0,3,0,11100
h8r2_Breathing,h8r2,Breathing,1,1,1,0,0,3,1,11100
h8r2_Counting1,h8r2,Counting1,1,1,1,1,1,5,1,11111
h8r2_Counting2,h8r2,Counting2,1,1,1,1,1,5,1,11111
h8r2_Counting3,h8r2,Counting3,1,1,1,1,1,5,1,11111
h8r2_Math,h8r2,Math,1,1,1,1,1,5,1,11111
h8r2_Reading,h8r2,Reading,1,1,1,1,1,5,1,11111
h8r2_Relax,h8r2,Relax,1,1,1,1,0,4,1,11110
h8r2_Speaking,h8r2,Speaking,1,1,1,1,1,5,1,11111
h8r2_Stroop,h8r2,Stroop,1,1,1,1,1,5,1,11111
h8r2_Video1,h8r2,Video1,1,1,1,1,0,4,1,11110
h8r2_Video2,h8r2,Video2,1,1,1,1,0,4,1,11110
h8s1_Baseline,h8s1,Baseline,1,1,1,0,0,3,0,11100
h8s1_Breathing,h8s1,Breathing,1,1,1,1,0,4,1,11110
h8s1_Counting1,h8s1,Counting1,1,1,1,1,1,5,1,11111
h8s1_Counting2,h8s1,Counting2,1,1,1,1,1,5,1,11111
h8s1_Counting3,h8s1,Counting3,1,1,1,1,1,5,1,11111
h8s1_Math,h8s1,Math,1,1,1,1,1,5,1,11111
h8s1_Reading,h8s1,Reading,1,1,1,1,1,5,1,11111
h8s1_Relax,h8s1,Relax,1,1,1,1,0,4,1,11110
h8s1_Speaking,h8s1,Speaking,1,1,1,1,1,5,1,11111
h8s1_Stroop,h8s1,Stroop,1,1,1,1,1,5,1,11111
h8s1_Video1,h8s1,Video1,1,1,1,1,0,4,1,11110
h8s1_Video2,h8s1,Video2,1,1,1,1,0,4,1,11110
hh2e_Breathing,hh2e,Breathing,1,1,1,0,0,3,0,11100
hh2e_Counting1,hh2e,Counting1,1,1,1,0,0,3,0,11100
hh2e_Counting2,hh2e,Counting2,1,1,1,0,0,3,0,11100
hh2e_Counting3,hh2e,Counting3,1,1,1,0,0,3,0,11100
hh2e_Math,hh2e,Math,1,1,1,0,0,3,0,11100
hh2e_Reading,hh2e,Reading,1,1,1,0,0,3,0,11100
hh2e_Speaking,hh2e,Speaking,1,1,1,0,0,3,0,11100
hh2e_Stroop,hh2e,Stroop,1,1,1,0,0,3,0,11100
hh2e_Video1,hh2e,Video1,1,1,1,0,0,3,0,11100
hh2e_Video2,hh2e,Video2,1,1,1,0,0,3,0,11100
hvpa_Baseline,hvpa,Baseline,1,1,1,0,0,3,0,11100
hvpa_Breathing,hvpa,Breathing,1,1,1,0,0,3,1,11100
hvpa_Counting1,hvpa,Counting1,1,1,1,0,0,3,1,11100
hvpa_Counting2,hvpa,Counting2,1,1,1,0,0,3,1,11100
hvpa_Counting3,hvpa,Counting3,1,1,1,0,0,3,1,11100
hvpa_Math,hvpa,Math,1,1,1,0,0,3,1,11100
hvpa_Reading,hvpa,Reading,1,1,1,0,0,3,1,11100
hvpa_Relax,hvpa,Relax,1,1,1,0,0,3,1,11100
hvpa_Speaking,hvpa,Speaking,1,1,1,0,0,3,1,11100
hvpa_Stroop,hvpa,Stroop,1,1,1,0,0,3,1,11100
hvpa_Video1,hvpa,Video1,1,1,1,0,0,3,1,11100
hvpa_Video2,hvpa,Video2,1,1,1,0,0,3,1,11100
i9t9_Baseline,i9t9,Baseline,1,1,1,0,0,3,0,11100
i9t9_Breathing,i9t9,Breathing,1,1,1,1,0,4,1,11110
i9t9_Counting1,i9t9,Counting1,1,1,1,1,1,5,1,11111
i9t9_Counting2,i9t9,Counting2,1,1,1,1,1,5,1,11111
i9t9_Counting3,i9t9,Counting3,1,1,1,1,1,5,1,11111
i9t9_Math,i9t9,Math,1,1,1,1,1,5,1,11111
i9t9_Reading,i9t9,Reading,1,1,1,1,1,5,1,11111
i9t9_Relax,i9t9,Relax,1,1,1,1,0,4,1,11110
i9t9_Speaking,i9t9,Speaking,1,1,1,1,1,5,1,11111
i9t9_Stroop,i9t9,Stroop,1,1,1,1,1,5,1,11111
i9t9_Video1,i9t9,Video1,1,1,1,1,0,4,1,11110
i9t9_Video2,i9t9,Video2,1,1,1,1,0,4,1,11110
iqyg_Baseline,iqyg,Baseline,1,1,1,0,0,3,0,11100
iqyg_Breathing,iqyg,Breathing,1,1,1,1,0,4,1,11110
iqyg_Counting1,iqyg,Counting1,1,1,1,1,1,5,1,11111
iqyg_Counting2,iqyg,Counting2,1,1,1,1,1,5,1,11111
iqyg_Counting3,iqyg,Counting3,1,1,1,1,1,5,1,11111
iqyg_Math,iqyg,Math,1,1,1,1,1,5,1,11111
iqyg_Reading,iqyg,Reading,1,1,1,1,1,5,1,11111
iqyg_Relax,iqyg,Relax,1,1,1,1,0,4,1,11110
iqyg_Speaking,iqyg,Speaking,1,1,1,1,1,5,1,11111
iqyg_Stroop,iqyg,Stroop,1,1,1,1,1,5,1,11111
iqyg_Video1,iqyg,Video1,1,1,1,1,0,4,1,11110
iqyg_Video2,iqyg,Video2,1,1,1,1,0,4,1,11110
j1u8_Baseline,j1u8,Baseline,1,1,1,0,0,3,0,11100
j1u8_Breathing,j1u8,Breathing,1,1,1,1,0,4,1,11110
j1u8_Counting1,j1u8,Counting1,1,1,1,1,1,5,1,11111
j1u8_Counting2,j1u8,Counting2,1,1,1,1,1,5,1,11111
j1u8_Counting3,j1u8,Counting3,1,1,1,1,1,5,1,11111
j1u8_Math,j1u8,Math,1,1,1,1,1,5,1,11111
j1u8_Reading,j1u8,Reading,1,1,1,1,1,5,1,11111
j1u8_Relax,j1u8,Relax,1,1,1,1,0,4,1,11110
j1u8_Speaking,j1u8,Speaking,1,1,1,1,1,5,1,11111
j1u8_Stroop,j1u8,Stroop,1,1,1,1,1,5,1,11111
j1u8_Video1,j1u8,Video1,0,0,0,1,0,1,0,00010
j1u8_Video2,j1u8,Video2,1,1,1,1,0,4,1,11110
j9h8_Baseline,j9h8,Baseline,1,1,1,0,0,3,0,11100
j9h8_Breathing,j9h8,Breathing,1,1,1,1,0,4,1,11110
j9h8_Counting1,j9h8,Counting1,1,1,1,1,1,5,1,11111
j9h8_Counting2,j9h8,Counting2,1,1,1,1,1,5,1,11111
j9h8_Counting3,j9h8,Counting3,1,1,1,1,1,5,1,11111
j9h8_Math,j9h8,Math,1,1,1,1,1,5,1,11111
j9h8_Reading,j9h8,Reading,1,1,1,1,1,5,1,11111
j9h8_Relax,j9h8,Relax,1,1,1,1,0,4,1,11110
j9h8_Speaking,j9h8,Speaking,1,1,1,1,1,5,1,11111
j9h8_Stroop,j9h8,Stroop,1,1,1,1,1,5,1,11111
j9h8_Video1,j9h8,Video1,1,1,1,1,0,4,1,11110
j9h8_Video2,j9h8,Video2,1,1,1,1,0,4,1,11110
k2v7_Baseline,k2v7,Baseline,1,1,1,0,0,3,0,11100
k2v7_Breathing,k2v7,Breathing,1,1,1,1,0,4,1,11110
k2v7_Counting1,k2v7,Counting1,1,1,1,1,1,5,1,11111
k2v7_Counting2,k2v7,Counting2,1,1,1,1,1,5,1,11111
k2v7_Counting3,k2v7,Counting3,1,1,1,1,1,5,1,11111
k2v7_Math,k2v7,Math,1,1,1,1,1,5,1,11111
k2v7_Reading,k2v7,Reading,1,1,1,1,1,5,1,11111
k2v7_Relax,k2v7,Relax,1,1,1,1,0,4,1,11110
k2v7_Speaking,k2v7,Speaking,1,1,1,1,1,5,1,11111
k2v7_Stroop,k2v7,Stroop,1,1,1,1,1,5,1,11111
k2v7_Video1,k2v7,Video1,1,1,1,1,0,4,1,11110
k2v7_Video2,k2v7,Video2,1,1,1,1,0,4,1,11110
k67g_Baseline,k67g,Baseline,1,1,1,0,0,3,0,11100
k67g_Breathing,k67g,Breathing,1,1,1,0,0,3,1,11100
k67g_Counting1,k67g,Counting1,1,1,1,1,1,5,1,11111
k67g_Counting2,k67g,Counting2,1,1,1,1,1,5,1,11111
k67g_Counting3,k67g,Counting3,1,1,1,1,1,5,1,11111
k67g_Math,k67g,Math,1,1,1,1,1,5,1,11111
k67g_Reading,k67g,Reading,1,1,1,1,1,5,1,11111
k67g_Relax,k67g,Relax,1,1,1,1,0,4,1,11110
k67g_Speaking,k67g,Speaking,1,1,1,1,1,5,1,11111
k67g_Stroop,k67g,Stroop,1,1,1,1,1,5,1,11111
k67g_Video1,k67g,Video1,1,1,1,1,0,4,1,11110
k67g_Video2,k67g,Video2,1,1,1,1,0,4,1,11110
kkf5_Baseline,kkf5,Baseline,1,1,1,0,0,3,0,11100
kkf5_Breathing,kkf5,Breathing,1,1,1,1,0,4,1,11110
kkf5_Counting1,kkf5,Counting1,1,1,1,1,1,5,1,11111
kkf5_Counting2,kkf5,Counting2,1,1,1,1,1,5,1,11111
kkf5_Counting3,kkf5,Counting3,1,1,1,1,1,5,1,11111
kkf5_Math,kkf5,Math,1,1,1,1,1,5,1,11111
kkf5_Reading,kkf5,Reading,1,1,1,1,1,5,1,11111
kkf5_Relax,kkf5,Relax,1,1,1,1,0,4,1,11110
kkf5_Speaking,kkf5,Speaking,1,1,1,1,1,5,1,11111
kkf5_Stroop,kkf5,Stroop,1,1,1,1,1,5,1,11111
kkf5_Video1,kkf5,Video1,1,1,1,1,0,4,1,11110
kkf5_Video2,kkf5,Video2,1,1,1,1,0,4,1,11110
kycf_Baseline,kycf,Baseline,1,1,1,0,0,3,0,11100
kycf_Breathing,kycf,Breathing,1,1,1,1,0,4,1,11110
kycf_Counting1,kycf,Counting1,1,1,1,1,1,5,1,11111
kycf_Counting2,kycf,Counting2,1,1,1,1,1,5,1,11111
kycf_Counting3,kycf,Counting3,1,1,1,1,1,5,1,11111
kycf_Math,kycf,Math,1,1,1,1,1,5,1,11111
kycf_Reading,kycf,Reading,1,1,1,1,1,5,1,11111
kycf_Relax,kycf,Relax,1,1,1,1,0,4,1,11110
kycf_Speaking,kycf,Speaking,1,1,1,1,1,5,1,11111
kycf_Stroop,kycf,Stroop,1,1,1,1,1,5,1,11111
kycf_Video1,kycf,Video1,1,1,1,1,0,4,1,11110
kycf_Video2,kycf,Video2,1,1,1,1,0,4,1,11110
m8g5_Baseline,m8g5,Baseline,1,1,1,0,0,3,0,11100
m8g5_Breathing,m8g5,Breathing,1,1,1,1,0,4,1,11110
m8g5_Counting1,m8g5,Counting1,1,1,1,1,1,5,1,11111
m8g5_Counting2,m8g5,Counting2,1,1,1,1,1,5,1,11111
m8g5_Counting3,m8g5,Counting3,1,1,1,1,1,5,1,11111
m8g5_Math,m8g5,Math,1,1,1,1,1,5,1,11111
m8g5_Reading,m8g5,Reading,1,1,1,1,1,5,1,11111
m8g5_Relax,m8g5,Relax,1,1,1,1,0,4,1,11110
m8g5_Speaking,m8g5,Speaking,1,1,1,1,1,5,1,11111
m8g5_Stroop,m8g5,Stroop,1,1,1,1,1,5,1,11111
m8g5_Video1,m8g5,Video1,1,1,1,1,0,4,1,11110
m8g5_Video2,m8g5,Video2,1,1,1,1,0,4,1,11110
p9i3_Baseline,p9i3,Baseline,1,1,1,0,0,3,0,11100
p9i3_Breathing,p9i3,Breathing,1,1,1,1,0,4,1,11110
p9i3_Counting1,p9i3,Counting1,1,1,1,1,1,5,1,11111
p9i3_Counting2,p9i3,Counting2,1,1,1,1,1,5,1,11111
p9i3_Counting3,p9i3,Counting3,1,1,1,1,1,5,1,11111
p9i3_Math,p9i3,Math,1,1,1,1,1,5,1,11111
p9i3_Reading,p9i3,Reading,1,1,1,1,1,5,1,11111
p9i3_Relax,p9i3,Relax,1,1,1,1,0,4,1,11110
p9i3_Speaking,p9i3,Speaking,1,1,1,1,1,5,1,11111
p9i3_Stroop,p9i3,Stroop,1,1,1,1,1,5,1,11111
p9i3_Video1,p9i3,Video1,1,1,1,1,0,4,1,11110
p9i3_Video2,p9i3,Video2,1,1,1,1,0,4,1,11110
ql3b_Baseline,ql3b,Baseline,1,1,1,0,0,3,0,11100
ql3b_Breathing,ql3b,Breathing,1,1,1,0,0,3,1,11100
ql3b_Counting1,ql3b,Counting1,1,1,1,0,0,3,1,11100
ql3b_Counting2,ql3b,Counting2,1,1,1,0,0,3,1,11100
ql3b_Counting3,ql3b,Counting3,1,1,1,0,0,3,1,11100
ql3b_Math,ql3b,Math,1,1,1,0,0,3,1,11100
ql3b_Reading,ql3b,Reading,1,1,1,0,0,3,1,11100
ql3b_Relax,ql3b,Relax,1,1,1,0,0,3,1,11100
ql3b_Speaking,ql3b,Speaking,1,1,1,0,0,3,1,11100
ql3b_Stroop,ql3b,Stroop,1,1,1,0,0,3,1,11100
ql3b_Video1,ql3b,Video1,1,1,1,0,0,3,1,11100
ql3b_Video2,ql3b,Video2,1,1,1,0,0,3,1,11100
qw5t_Baseline,qw5t,Baseline,1,1,1,0,0,3,0,11100
qw5t_Breathing,qw5t,Breathing,1,1,1,1,0,4,1,11110
qw5t_Counting1,qw5t,Counting1,1,1,1,1,1,5,1,11111
qw5t_Counting2,qw5t,Counting2,1,1,1,1,1,5,1,11111
qw5t_Counting3,qw5t,Counting3,1,1,1,1,1,5,1,11111
qw5t_Math,qw5t,Math,1,1,1,1,1,5,1,11111
qw5t_Reading,qw5t,Reading,1,1,1,1,1,5,1,11111
qw5t_Relax,qw5t,Relax,1,1,1,1,0,4,1,11110
qw5t_Speaking,qw5t,Speaking,1,1,1,1,1,5,1,11111
qw5t_Stroop,qw5t,Stroop,1,1,1,1,1,5,1,11111
qw5t_Video1,qw5t,Video1,1,1,1,1,0,4,1,11110
qw5t_Video2,qw5t,Video2,1,1,1,1,0,4,1,11110
qx2o_Baseline,qx2o,Baseline,1,1,1,0,0,3,0,11100
qx2o_Breathing,qx2o,Breathing,1,1,1,0,0,3,1,11100
qx2o_Counting1,qx2o,Counting1,1,1,1,0,0,3,1,11100
qx2o_Counting2,qx2o,Counting2,1,1,1,0,0,3,1,11100
qx2o_Counting3,qx2o,Counting3,1,1,1,0,0,3,1,11100
qx2o_Math,qx2o,Math,1,1,1,0,0,3,1,11100
qx2o_Reading,qx2o,Reading,1,1,1,0,0,3,1,11100
qx2o_Relax,qx2o,Relax,1,1,1,0,0,3,1,11100
qx2o_Speaking,qx2o,Speaking,1,1,1,0,0,3,1,11100
qx2o_Stroop,qx2o,Stroop,1,1,1,0,0,3,1,11100
qx2o_Video1,qx2o,Video1,1,1,1,0,0,3,1,11100
qx2o_Video2,qx2o,Video2,1,1,1,0,0,3,1,11100
r0a3_Baseline,r0a3,Baseline,1,1,1,0,0,3,0,11100
r0a3_Breathing,r0a3,Breathing,1,1,1,0,0,3,1,11100
r0a3_Counting1,r0a3,Counting1,1,1,1,0,0,3,1,11100
r0a3_Counting2,r0a3,Counting2,1,1,1,0,0,3,1,11100
r0a3_Counting3,r0a3,Counting3,1,1,1,0,0,3,1,11100
r0a3_Math,r0a3,Math,1,1,1,0,0,3,1,11100
r0a3_Reading,r0a3,Reading,1,1,1,0,0,3,1,11100
r0a3_Relax,r0a3,Relax,1,1,1,0,0,3,1,11100
r0a3_Speaking,r0a3,Speaking,1,1,1,0,0,3,1,11100
r0a3_Stroop,r0a3,Stroop,1,1,1,0,0,3,1,11100
r0a3_Video1,r0a3,Video1,1,1,1,0,0,3,1,11100
r0a3_Video2,r0a3,Video2,1,1,1,0,0,3,1,11100
r3zm_Baseline,r3zm,Baseline,1,1,1,0,0,3,0,11100
r3zm_Breathing,r3zm,Breathing,1,1,1,1,0,4,1,11110
r3zm_Counting1,r3zm,Counting1,1,1,1,1,1,5,1,11111
r3zm_Counting2,r3zm,Counting2,1,1,1,1,1,5,1,11111
r3zm_Counting3,r3zm,Counting3,1,1,1,1,1,5,1,11111
r3zm_Math,r3zm,Math,1,1,1,1,1,5,1,11111
r3zm_Reading,r3zm,Reading,1,1,1,1,1,5,1,11111
r3zm_Relax,r3zm,Relax,1,1,1,1,0,4,1,11110
r3zm_Speaking,r3zm,Speaking,1,1,1,1,1,5,1,11111
r3zm_Stroop,r3zm,Stroop,1,1,1,1,1,5,1,11111
r3zm_Video1,r3zm,Video1,1,1,1,1,0,4,1,11110
r3zm_Video2,r3zm,Video2,1,1,1,1,0,4,1,11110
r5s8_Baseline,r5s8,Baseline,1,1,1,0,0,3,0,11100
r5s8_Breathing,r5s8,Breathing,1,1,1,1,0,4,1,11110
r5s8_Counting1,r5s8,Counting1,1,1,1,1,1,5,1,11111
r5s8_Counting2,r5s8,Counting2,1,1,1,1,1,5,1,11111
r5s8_Counting3,r5s8,Counting3,1,0,1,1,1,4,1,10111
r5s8_Math,r5s8,Math,1,1,1,1,1,5,1,11111
r5s8_Reading,r5s8,Reading,1,1,1,1,1,5,1,11111
r5s8_Relax,r5s8,Relax,1,1,1,1,0,4,1,11110
r5s8_Speaking,r5s8,Speaking,1,1,1,1,1,5,1,11111
r5s8_Stroop,r5s8,Stroop,1,1,1,1,1,5,1,11111
r5s8_Video1,r5s8,Video1,1,1,1,1,0,4,1,11110
r5s8_Video2,r5s8,Video2,1,1,1,1,0,4,1,11110
t6v9_Baseline,t6v9,Baseline,1,1,1,0,0,3,0,11100
t6v9_Breathing,t6v9,Breathing,1,1,1,1,0,4,1,11110
t6v9_Counting1,t6v9,Counting1,1,1,1,1,1,5,1,11111
t6v9_Counting2,t6v9,Counting2,1,1,1,1,1,5,1,11111
t6v9_Counting3,t6v9,Counting3,1,1,1,1,1,5,1,11111
t6v9_Math,t6v9,Math,1,1,1,1,1,5,1,11111
t6v9_Reading,t6v9,Reading,1,1,1,1,1,5,1,11111
t6v9_Relax,t6v9,Relax,1,1,1,1,0,4,1,11110
t6v9_Speaking,t6v9,Speaking,1,1,1,1,1,5,1,11111
t6v9_Stroop,t6v9,Stroop,1,1,1,1,1,5,1,11111
t6v9_Video1,t6v9,Video1,1,1,1,1,0,4,1,11110
t6v9_Video2,t6v9,Video2,1,1,1,1,0,4,1,11110
tmvd_Baseline,tmvd,Baseline,1,1,1,0,0,3,0,11100
tmvd_Breathing,tmvd,Breathing,1,1,1,1,0,4,1,11110
tmvd_Counting1,tmvd,Counting1,1,1,1,1,1,5,1,11111
tmvd_Counting2,tmvd,Counting2,1,1,1,1,1,5,1,11111
tmvd_Counting3,tmvd,Counting3,1,1,1,1,1,5,1,11111
tmvd_Math,tmvd,Math,1,1,1,1,1,5,1,11111
tmvd_Reading,tmvd,Reading,1,1,1,1,1,5,1,11111
tmvd_Relax,tmvd,Relax,1,1,1,1,0,4,1,11110
tmvd_Speaking,tmvd,Speaking,1,1,1,1,1,5,1,11111
tmvd_Stroop,tmvd,Stroop,1,1,1,1,1,5,1,11111
tmvd_Video1,tmvd,Video1,1,1,1,1,0,4,1,11110
tmvd_Video2,tmvd,Video2,1,1,1,1,0,4,1,11110
u3v9_Baseline,u3v9,Baseline,1,1,1,0,0,3,0,11100
u3v9_Breathing,u3v9,Breathing,1,1,1,1,0,4,1,11110
u3v9_Counting1,u3v9,Counting1,1,1,1,1,1,5,1,11111
u3v9_Counting2,u3v9,Counting2,1,1,1,1,1,5,1,11111
u3v9_Counting3,u3v9,Counting3,1,1,1,1,1,5,1,11111
u3v9_Math,u3v9,Math,1,1,1,1,1,5,1,11111
u3v9_Reading,u3v9,Reading,1,1,1,1,1,5,1,11111
u3v9_Relax,u3v9,Relax,1,1,1,1,0,4,1,11110
u3v9_Speaking,u3v9,Speaking,1,1,1,1,1,5,1,11111
u3v9_Stroop,u3v9,Stroop,1,1,1,1,1,5,1,11111
u3v9_Video1,u3v9,Video1,1,1,1,1,0,4,1,11110
u3v9_Video2,u3v9,Video2,1,1,1,1,0,4,1,11110
uymz_Baseline,uymz,Baseline,1,1,1,0,0,3,0,11100
uymz_Breathing,uymz,Breathing,1,1,1,1,0,4,1,11110
uymz_Counting1,uymz,Counting1,1,1,1,1,1,5,1,11111
uymz_Counting2,uymz,Counting2,1,1,1,1,1,5,1,11111
uymz_Counting3,uymz,Counting3,1,1,1,1,1,5,1,11111
uymz_Math,uymz,Math,1,1,1,1,1,5,1,11111
uymz_Reading,uymz,Reading,1,1,1,1,1,5,1,11111
uymz_Relax,uymz,Relax,1,1,1,1,0,4,1,11110
uymz_Speaking,uymz,Speaking,1,1,1,1,1,5,1,11111
uymz_Stroop,uymz,Stroop,1,1,1,1,1,5,1,11111
uymz_Video1,uymz,Video1,1,1,1,1,0,4,1,11110
uymz_Video2,uymz,Video2,1,1,1,1,0,4,1,11110
uyrl_Baseline,uyrl,Baseline,1,1,1,0,0,3,0,11100
uyrl_Breathing,uyrl,Breathing,1,1,1,0,0,3,1,11100
uyrl_Counting1,uyrl,Counting1,1,1,1,0,0,3,1,11100
uyrl_Counting2,uyrl,Counting2,1,1,1,0,0,3,1,11100
uyrl_Counting3,uyrl,Counting3,1,1,1,0,0,3,1,11100
uyrl_Math,uyrl,Math,1,1,1,0,0,3,1,11100
uyrl_Reading,uyrl,Reading,1,1,1,0,0,3,1,11100
uyrl_Relax,uyrl,Relax,1,1,1,0,0,3,1,11100
uyrl_Speaking,uyrl,Speaking,1,1,1,0,0,3,1,11100
uyrl_Stroop,uyrl,Stroop,1,1,1,0,0,3,1,11100
uyrl_Video1,uyrl,Video1,1,1,1,0,0,3,1,11100
uyrl_Video2,uyrl,Video2,1,1,1,0,0,3,1,11100
v8mh_Baseline,v8mh,Baseline,1,1,1,0,0,3,0,11100
v8mh_Breathing,v8mh,Breathing,1,1,1,1,0,4,1,11110
v8mh_Counting1,v8mh,Counting1,1,1,1,1,1,5,1,11111
v8mh_Counting2,v8mh,Counting2,1,1,1,1,1,5,1,11111
v8mh_Counting3,v8mh,Counting3,1,1,1,1,1,5,1,11111
v8mh_Math,v8mh,Math,1,1,1,1,1,5,1,11111
v8mh_Reading,v8mh,Reading,1,1,1,1,1,5,1,11111
v8mh_Relax,v8mh,Relax,1,1,1,1,0,4,1,11110
v8mh_Speaking,v8mh,Speaking,1,1,1,1,1,5,1,11111
v8mh_Stroop,v8mh,Stroop,1,1,1,1,1,5,1,11111
v8mh_Video1,v8mh,Video1,1,1,1,1,0,4,1,11110
v8mh_Video2,v8mh,Video2,1,1,1,1,0,4,1,11110
w2t5_Baseline,w2t5,Baseline,1,1,1,0,0,3,0,11100
w2t5_Breathing,w2t5,Breathing,1,1,1,1,0,4,1,11110
w2t5_Counting1,w2t5,Counting1,1,1,1,1,1,5,1,11111
w2t5_Counting2,w2t5,Counting2,1,1,1,1,1,5,1,11111
w2t5_Counting3,w2t5,Counting3,1,1,1,1,1,5,1,11111
w2t5_Math,w2t5,Math,1,1,1,1,1,5,1,11111
w2t5_Reading,w2t5,Reading,1,1,1,1,1,5,1,11111
w2t5_Relax,w2t5,Relax,1,1,1,1,0,4,1,11110
w2t5_Speaking,w2t5,Speaking,1,1,1,1,1,5,1,11111
w2t5_Stroop,w2t5,Stroop,1,1,1,1,1,5,1,11111
w2t5_Video1,w2t5,Video1,1,1,1,1,0,4,1,11110
w2t5_Video2,w2t5,Video2,1,1,1,1,0,4,1,11110
wfsl_Baseline,wfsl,Baseline,1,1,1,0,0,3,0,11100
wfsl_Breathing,wfsl,Breathing,1,1,1,0,0,3,1,11100
wfsl_Counting1,wfsl,Counting1,1,1,1,0,0,3,1,11100
wfsl_Counting2,wfsl,Counting2,1,1,1,0,0,3,1,11100
wfsl_Counting3,wfsl,Counting3,1,1,1,0,0,3,1,11100
wfsl_Math,wfsl,Math,1,1,1,0,0,3,1,11100
wfsl_Reading,wfsl,Reading,1,1,1,0,0,3,1,11100
wfsl_Speaking,wfsl,Speaking,1,1,1,0,0,3,1,11100
wfsl_Stroop,wfsl,Stroop,1,1,1,0,0,3,1,11100
wfsl_Video1,wfsl,Video1,1,1,1,0,0,3,1,11100
wfsl_Video2,wfsl,Video2,1,1,1,0,0,3,1,11100
wssm_Baseline,wssm,Baseline,1,1,1,0,0,3,0,11100
wssm_Breathing,wssm,Breathing,1,1,1,1,0,4,1,11110
wssm_Counting1,wssm,Counting1,1,1,1,1,1,5,1,11111
wssm_Counting2,wssm,Counting2,1,1,1,1,1,5,1,11111
wssm_Counting3,wssm,Counting3,1,1,1,1,1,5,1,11111
wssm_Math,wssm,Math,1,1,1,1,1,5,1,11111
wssm_Reading,wssm,Reading,1,1,1,1,1,5,1,11111
wssm_Relax,wssm,Relax,1,1,1,1,0,4,1,11110
wssm_Speaking,wssm,Speaking,1,1,1,1,1,5,1,11111
wssm_Stroop,wssm,Stroop,1,1,1,1,1,5,1,11111
wssm_Video1,wssm,Video1,1,1,1,1,0,4,1,11110
wssm_Video2,wssm,Video2,1,1,1,1,0,4,1,11110
x1q3_Baseline,x1q3,Baseline,1,1,1,0,0,3,0,11100
x1q3_Breathing,x1q3,Breathing,1,1,1,1,0,4,1,11110
x1q3_Counting1,x1q3,Counting1,1,1,1,1,1,5,1,11111
x1q3_Counting2,x1q3,Counting2,1,1,1,1,1,5,1,11111
x1q3_Counting3,x1q3,Counting3,1,1,1,1,1,5,1,11111
x1q3_Math,x1q3,Math,1,1,1,1,1,5,1,11111
x1q3_Reading,x1q3,Reading,1,1,1,1,1,5,1,11111
x1q3_Relax,x1q3,Relax,1,1,1,1,0,4,1,11110
x1q3_Speaking,x1q3,Speaking,1,1,1,1,1,5,1,11111
x1q3_Stroop,x1q3,Stroop,1,1,1,1,1,5,1,11111
x1q3_Video1,x1q3,Video1,1,1,1,1,0,4,1,11110
x1q3_Video2,x1q3,Video2,1,1,1,1,0,4,1,11110
y8c3_Baseline,y8c3,Baseline,1,1,1,0,0,3,0,11100
y8c3_Breathing,y8c3,Breathing,1,1,1,1,0,4,1,11110
y8c3_Counting1,y8c3,Counting1,1,1,1,1,1,5,1,11111
y8c3_Counting2,y8c3,Counting2,1,1,1,1,1,5,1,11111
y8c3_Counting3,y8c3,Counting3,1,1,1,1,1,5,1,11111
y8c3_Math,y8c3,Math,1,1,1,1,1,5,1,11111
y8c3_Reading,y8c3,Reading,1,1,1,1,1,5,1,11111
y8c3_Relax,y8c3,Relax,1,1,1,1,0,4,1,11110
y8c3_Speaking,y8c3,Speaking,1,1,1,1,1,5,1,11111
y8c3_Stroop,y8c3,Stroop,1,1,1,1,1,5,1,11111
y8c3_Video1,y8c3,Video1,1,1,1,1,0,4,1,11110
y8c3_Video2,y8c3,Video2,1,1,1,1,0,4,1,11110
y9z6_Baseline,y9z6,Baseline,1,1,1,0,0,3,0,11100
y9z6_Breathing,y9z6,Breathing,1,1,1,1,0,4,1,11110
y9z6_Counting1,y9z6,Counting1,1,1,1,1,1,5,1,11111
y9z6_Counting2,y9z6,Counting2,1,1,1,1,1,5,1,11111
y9z6_Counting3,y9z6,Counting3,1,1,1,1,1,5,1,11111
y9z6_Math,y9z6,Math,1,1,1,1,1,5,1,11111
y9z6_Reading,y9z6,Reading,1,1,1,1,1,5,1,11111
y9z6_Relax,y9z6,Relax,1,1,1,1,0,4,1,11110
y9z6_Speaking,y9z6,Speaking,1,1,1,1,1,5,1,11111
y9z6_Stroop,y9z6,Stroop,1,1,1,1,1,5,1,11111
y9z6_Video1,y9z6,Video1,1,1,1,1,0,4,1,11110
y9z6_Video2,y9z6,Video2,1,1,1,1,0,4,1,11110
